Water [kg],Cement [kg],Sand [kg],CA [kg],smax [mm],SP [kg],Fiber type,ρf,ff [MPa],Vf [%],df [mm],Lf [mm],fst [MPa],w/c,s/a,a/c,Lf /df ,ρfLf /df ,Lf_df_ratio,rho_f_x_Lf_df,fiber_factor
200.0,651.0,527.0,1022.0,20,0.0,Hooked,1.0,1000.0,1.5,0.75,32.0,7.25,0.307219662058372,0.340219496449322,2.37941628264209,42.6666666666667,42.6666666666667,42.6666666666667,42.6666666666667,64.0
137.5,550.0,682.0,1050.5,10,1.595,No fiber,0.0,0.0,0.0,0.0,0.0,4.11,0.25,0.393650793650794,3.15,0.0,0.0,0.0,0.0,0.0
137.5,550.0,682.0,1050.5,10,1.595,Hooked,1.0,1250.0,0.5,0.62,40.0,4.45,0.25,0.393650793650794,3.15,64.5161290322581,64.5161290322581,64.5161290322581,64.5161290322581,32.258064516129
137.5,550.0,682.0,1050.5,10,1.595,Hooked,1.0,1250.0,1.0,0.62,40.0,4.85,0.25,0.393650793650794,3.15,64.5161290322581,64.5161290322581,64.5161290322581,64.5161290322581,64.5161290322581
137.5,550.0,682.0,1050.5,10,1.595,Hooked,1.0,1250.0,1.5,0.62,40.0,5.32,0.25,0.393650793650794,3.15,64.5161290322581,64.5161290322581,64.5161290322581,64.5161290322581,96.7741935483871
137.5,550.0,682.0,1050.5,10,1.595,Hooked,1.0,1250.0,0.5,0.62,50.0,4.62,0.25,0.393650793650794,3.15,80.6451612903226,80.6451612903226,80.6451612903226,80.6451612903226,40.3225806451613
137.5,550.0,682.0,1050.5,10,1.595,Hooked,1.0,1250.0,1.0,0.62,50.0,4.95,0.25,0.393650793650794,3.15,80.6451612903226,80.6451612903226,80.6451612903226,80.6451612903226,80.6451612903226
137.5,550.0,682.0,1050.5,10,1.595,Hooked,1.0,1250.0,1.5,0.62,50.0,5.32,0.25,0.393650793650794,3.15,80.6451612903226,80.6451612903226,80.6451612903226,80.6451612903226,120.967741935484
137.5,550.0,682.0,1050.5,10,1.595,Hooked,1.0,1250.0,0.5,0.75,60.0,4.56,0.25,0.393650793650794,3.15,80.0,80.0,80.0,80.0,40.0
137.5,550.0,682.0,1050.5,10,1.595,Hooked,1.0,1250.0,1.0,0.75,60.0,4.9,0.25,0.393650793650794,3.15,80.0,80.0,80.0,80.0,80.0
