Water [kg],Cement [kg],Sand [kg],CA [kg],smax [mm],SP [kg],Fiber type,ρf,Vf [%],df [mm],Lf [mm],fcy [MPa],w/c,s/a,a/c,Lf /df ,ρfLf /df ,Lf_df_ratio,rho_f_x_Lf_df,fiber_factor
195.0,415.0,752.0,1038.0,20.0,0.0,Hooked,1.0,0.4,0.62,35.0,43.41,0.469879518072289,0.420111731843575,4.31325301204819,56.4516129032258,56.4516129032258,56.4516129032258,56.4516129032258,22.5806451612903
200.0,513.0,675.0,1012.0,20.0,0.0,Hooked,1.0,0.4,0.62,35.0,45.41,0.389863547758285,0.400118553645525,3.28849902534113,56.4516129032258,56.4516129032258,56.4516129032258,56.4516129032258,22.5806451612903
172.0,400.0,730.0,1100.0,15.0,0.0,No fiber,0.0,0.0,0.0,0.0,34.5142857142857,0.43,0.398907103825137,4.575,0.0,0.0,0.0,0.0,0.0
172.0,400.0,730.0,1087.0,15.0,0.0,Hooked,1.0,0.5,0.8,32.0,37.0285714285714,0.43,0.401761144744084,4.5425,40.0,40.0,40.0,40.0,20.0
172.0,400.0,730.0,1073.0,15.0,0.0,Hooked,1.0,1.0,0.8,32.0,27.6571428571429,0.43,0.404880754298391,4.5075,40.0,40.0,40.0,40.0,40.0
172.0,400.0,730.0,1060.0,15.0,0.0,Hooked,1.0,1.5,0.8,32.0,30.2476190476191,0.43,0.407821229050279,4.475,40.0,40.0,40.0,40.0,60.0
172.0,400.0,730.0,1046.0,15.0,0.0,Hooked,1.0,2.0,0.8,32.0,34.5142857142857,0.43,0.411036036036036,4.44,40.0,40.0,40.0,40.0,80.0
161.0,460.0,699.2,1594.176,20.0,18.4,No fiber,0.0,0.0,0.0,0.0,46.2857142857143,0.35,0.304878048780488,4.9856,0.0,0.0,0.0,0.0,0.0
161.0,460.0,699.2,1594.176,20.0,18.4,Crimped,0.75,0.4,0.8,32.0,43.5238095238095,0.35,0.304878048780488,4.9856,40.0,30.0,40.0,30.0,16.0
161.0,460.0,699.2,1594.176,20.0,18.4,Crimped,0.75,0.8,0.8,32.0,44.0,0.35,0.304878048780488,4.9856,40.0,30.0,40.0,30.0,32.0
161.0,460.0,699.2,1594.176,20.0,18.4,Crimped,0.75,1.2,0.8,32.0,46.0,0.35,0.304878048780488,4.9856,40.0,30.0,40.0,30.0,48.0
161.0,460.0,699.2,1594.176,20.0,18.4,Crimped,0.75,1.6,0.8,32.0,48.2857142857143,0.35,0.304878048780488,4.9856,40.0,30.0,40.0,30.0,64.0
167.721,453.3,699.2,1594.176,20.0,18.132,No fiber,0.0,0.0,0.0,0.0,44.0,0.37,0.304878048780488,5.059289653651,0.0,0.0,0.0,0.0,0.0
167.721,453.3,699.2,1594.176,20.0,18.132,Crimped,0.75,0.4,0.8,40.0,46.2857142857143,0.37,0.304878048780488,5.059289653651,50.0,37.5,50.0,37.5,20.0
167.721,453.3,699.2,1594.176,20.0,18.132,Crimped,0.75,0.8,0.8,40.0,47.3333333333333,0.37,0.304878048780488,5.059289653651,50.0,37.5,50.0,37.5,40.0
167.721,453.3,699.2,1594.176,20.0,18.132,Crimped,0.75,1.2,0.8,40.0,50.6666666666667,0.37,0.304878048780488,5.059289653651,50.0,37.5,50.0,37.5,60.0
167.721,453.3,699.2,1594.176,20.0,18.132,Crimped,0.75,1.6,0.8,40.0,56.0,0.37,0.304878048780488,5.059289653651,50.0,37.5,50.0,37.5,80.0
161.69,437.0,756.0,1210.0,20.0,1.311,No fiber,0.0,0.0,0.0,0.0,33.0,0.37,0.384537131230926,4.49885583524027,0.0,0.0,0.0,0.0,0.0
161.69,437.0,756.0,1210.0,20.0,1.311,No fiber,0.0,0.0,0.0,0.0,32.03,0.37,0.384537131230926,4.49885583524027,0.0,0.0,0.0,0.0,0.0
161.69,437.0,756.0,1210.0,20.0,1.311,No fiber,0.0,0.0,0.0,0.0,37.9,0.37,0.384537131230926,4.49885583524027,0.0,0.0,0.0,0.0,0.0
161.69,437.0,756.0,1210.0,20.0,1.311,No fiber,0.0,0.0,0.0,0.0,35.1,0.37,0.384537131230926,4.49885583524027,0.0,0.0,0.0,0.0,0.0
161.69,437.0,756.0,1210.0,20.0,4.37,Hooked,1.0,0.5,0.7,50.0,35.0,0.37,0.384537131230926,4.49885583524027,71.4285714285714,71.4285714285714,71.4285714285714,71.4285714285714,35.7142857142857
161.69,437.0,756.0,1210.0,20.0,4.37,Hooked,1.0,0.5,0.7,50.0,48.8,0.37,0.384537131230926,4.49885583524027,71.4285714285714,71.4285714285714,71.4285714285714,71.4285714285714,35.7142857142857
161.69,437.0,756.0,1210.0,20.0,4.37,Hooked,1.0,0.5,0.7,50.0,36.1,0.37,0.384537131230926,4.49885583524027,71.4285714285714,71.4285714285714,71.4285714285714,71.4285714285714,35.7142857142857
161.69,437.0,756.0,1210.0,20.0,4.37,Hooked,1.0,0.5,0.7,50.0,37.9,0.37,0.384537131230926,4.49885583524027,71.4285714285714,71.4285714285714,71.4285714285714,71.4285714285714,35.7142857142857
161.69,437.0,756.0,1210.0,20.0,5.4625,Hooked,1.0,1.0,0.7,50.0,35.5,0.37,0.384537131230926,4.49885583524027,71.4285714285714,71.4285714285714,71.4285714285714,71.4285714285714,71.4285714285714
161.69,437.0,756.0,1210.0,20.0,5.4625,Hooked,1.0,1.0,0.7,50.0,43.3,0.37,0.384537131230926,4.49885583524027,71.4285714285714,71.4285714285714,71.4285714285714,71.4285714285714,71.4285714285714
161.69,437.0,756.0,1210.0,20.0,5.4625,Hooked,1.0,1.0,0.7,50.0,40.9,0.37,0.384537131230926,4.49885583524027,71.4285714285714,71.4285714285714,71.4285714285714,71.4285714285714,71.4285714285714
161.69,437.0,756.0,1210.0,20.0,5.4625,Hooked,1.0,1.0,0.7,50.0,38.6,0.37,0.384537131230926,4.49885583524027,71.4285714285714,71.4285714285714,71.4285714285714,71.4285714285714,71.4285714285714
161.69,437.0,756.0,1210.0,20.0,6.118,Hooked,1.0,1.5,0.7,50.0,45.2,0.37,0.384537131230926,4.49885583524027,71.4285714285714,71.4285714285714,71.4285714285714,71.4285714285714,107.142857142857
161.69,437.0,756.0,1210.0,20.0,6.118,Hooked,1.0,1.5,0.7,50.0,43.2,0.37,0.384537131230926,4.49885583524027,71.4285714285714,71.4285714285714,71.4285714285714,71.4285714285714,107.142857142857
161.69,437.0,756.0,1210.0,20.0,6.118,Hooked,1.0,1.5,0.7,50.0,46.4,0.37,0.384537131230926,4.49885583524027,71.4285714285714,71.4285714285714,71.4285714285714,71.4285714285714,107.142857142857
161.69,437.0,756.0,1210.0,20.0,6.118,Hooked,1.0,1.5,0.7,50.0,40.8,0.37,0.384537131230926,4.49885583524027,71.4285714285714,71.4285714285714,71.4285714285714,71.4285714285714,107.142857142857
161.69,437.0,756.0,1210.0,20.0,4.37,Hooked,1.0,0.5,0.7,35.0,33.4,0.37,0.384537131230926,4.49885583524027,50.0,50.0,50.0,50.0,25.0
161.69,437.0,756.0,1210.0,20.0,4.37,Hooked,1.0,0.5,0.7,35.0,42.0,0.37,0.384537131230926,4.49885583524027,50.0,50.0,50.0,50.0,25.0
161.69,437.0,756.0,1210.0,20.0,4.37,Hooked,1.0,0.5,0.7,35.0,33.7,0.37,0.384537131230926,4.49885583524027,50.0,50.0,50.0,50.0,25.0
161.69,437.0,756.0,1210.0,20.0,4.37,Hooked,1.0,0.5,0.7,35.0,31.8,0.37,0.384537131230926,4.49885583524027,50.0,50.0,50.0,50.0,25.0
161.69,437.0,756.0,1210.0,20.0,5.244,Hooked,1.0,1.0,0.7,35.0,46.7,0.37,0.384537131230926,4.49885583524027,50.0,50.0,50.0,50.0,50.0
161.69,437.0,756.0,1210.0,20.0,5.244,Hooked,1.0,1.0,0.7,35.0,38.2,0.37,0.384537131230926,4.49885583524027,50.0,50.0,50.0,50.0,50.0
161.69,437.0,756.0,1210.0,20.0,5.244,Hooked,1.0,1.0,0.7,35.0,36.3,0.37,0.384537131230926,4.49885583524027,50.0,50.0,50.0,50.0,50.0
161.69,437.0,756.0,1210.0,20.0,5.244,Hooked,1.0,1.0,0.7,35.0,34.9,0.37,0.384537131230926,4.49885583524027,50.0,50.0,50.0,50.0,50.0
161.69,437.0,756.0,1210.0,20.0,5.8995,Hooked,1.0,1.5,0.7,35.0,50.3,0.37,0.384537131230926,4.49885583524027,50.0,50.0,50.0,50.0,75.0
161.69,437.0,756.0,1210.0,20.0,5.8995,Hooked,1.0,1.5,0.7,35.0,36.1,0.37,0.384537131230926,4.49885583524027,50.0,50.0,50.0,50.0,75.0
161.69,437.0,756.0,1210.0,20.0,5.8995,Hooked,1.0,1.5,0.7,35.0,39.5,0.37,0.384537131230926,4.49885583524027,50.0,50.0,50.0,50.0,75.0
161.69,437.0,756.0,1210.0,20.0,5.8995,Hooked,1.0,1.5,0.7,35.0,32.4,0.37,0.384537131230926,4.49885583524027,50.0,50.0,50.0,50.0,75.0
